rank,score,regime,size,seed,cluster_count_min,cluster_count_max,cluster_size_min,cluster_size_max,removed_min,removed_max,open_cells,optimal_moves,optimal_overlap,snake_moves,spiral_moves,heuristic_gap,turn_count,turn_density,move_entropy,spatial_turn_entropy,bridges,articulations,dead_ends,choice_points,alt_optima_fraction,alt_optima_probed
1,0.8752,single_mass,12,5,1,2,25,60,0.25,0.35,120,122,3,155,160,0.270,85,0.697,1.983,3.129,10,12,4,103,0.750,8
2,0.8705,single_mass,14,33,1,2,25,60,0.25,0.35,173,175,3,333,235,0.343,131,0.749,1.984,3.088,5,5,4,159,0.750,8
3,0.8678,single_mass,14,19,1,2,25,60,0.25,0.35,163,164,2,282,257,0.567,103,0.628,1.985,3.134,6,7,3,141,0.500,8
4,0.8469,single_mass,10,14,1,2,25,60,0.25,0.35,76,78,3,135,123,0.577,54,0.692,1.996,3.096,10,9,5,61,0.625,8
5,0.8372,dispersed,14,32,12,25,1,2,0.18,0.28,178,180,3,230,213,0.183,128,0.711,1.987,3.148,4,4,4,159,0.875,8
6,0.8316,medium_clusters,12,38,3,4,6,12,0.3,0.4,123,122,0,175,160,0.311,87,0.713,1.937,3.153,0,0,0,109,0.625,8
7,0.8153,single_mass,14,15,1,2,25,60,0.25,0.35,178,178,1,265,237,0.331,108,0.607,1.989,3.135,3,3,2,165,0.625,8
8,0.7997,medium_clusters,14,37,3,4,6,12,0.3,0.4,178,179,2,289,266,0.486,112,0.626,1.990,3.089,3,3,3,164,0.750,8
9,0.7953,single_mass,12,38,1,2,25,60,0.25,0.35,108,110,3,148,153,0.345,72,0.655,1.976,3.065,6,7,4,94,0.750,8
10,0.7875,default,12,39,4,6,6,12,0.2,0.4,120,120,1,167,159,0.325,73,0.608,1.997,3.110,6,6,2,94,0.250,8
11,0.7869,dispersed,14,29,12,25,1,2,0.18,0.28,177,178,2,214,205,0.152,124,0.697,1.988,3.134,5,5,3,157,0.750,8
12,0.7852,dispersed,14,9,12,25,1,2,0.18,0.28,174,175,2,224,202,0.154,123,0.703,1.996,3.149,3,3,2,155,0.625,8
13,0.7796,dispersed,10,4,12,25,1,2,0.18,0.28,84,86,3,105,112,0.221,57,0.663,1.999,3.149,2,2,2,66,0.375,8
14,0.7744,medium_clusters,14,27,3,4,6,12,0.3,0.4,175,177,3,209,211,0.181,112,0.633,1.996,3.118,8,8,1,155,0.875,8
15,0.7719,default,12,33,4,6,6,12,0.2,0.4,118,120,3,144,144,0.200,79,0.658,1.989,3.101,6,6,2,97,0.375,8
16,0.7707,default,14,1,4,7,7,14,0.2,0.4,173,174,2,212,220,0.218,120,0.690,1.988,3.110,1,1,1,154,0.875,8
17,0.7694,dispersed,14,15,12,25,1,2,0.18,0.28,180,181,2,239,217,0.199,121,0.669,1.993,3.141,0,0,0,160,0.875,8
18,0.7679,default,8,19,2,4,4,8,0.2,0.4,48,48,1,74,72,0.500,33,0.688,1.961,3.026,7,8,3,33,0.500,8
19,0.7645,single_mass,14,46,1,2,25,60,0.25,0.35,161,162,2,200,191,0.179,107,0.660,1.989,3.128,3,3,2,144,0.750,8
20,0.7599,single_mass,10,0,1,2,25,60,0.25,0.35,85,87,3,120,106,0.218,55,0.632,1.992,3.112,7,7,1,70,0.750,8
21,0.7569,medium_clusters,12,29,3,4,6,12,0.3,0.4,116,118,3,159,149,0.263,71,0.602,1.984,3.146,3,3,2,94,0.875,8
22,0.7532,medium_clusters,12,37,3,4,6,12,0.3,0.4,128,130,3,159,178,0.223,84,0.646,1.971,3.130,8,8,4,114,1.000,8
23,0.7507,default,14,28,4,7,7,14,0.2,0.4,158,160,3,215,199,0.244,100,0.625,1.995,3.121,2,2,2,135,0.875,8
24,0.7465,medium_clusters,10,7,3,4,6,12,0.3,0.4,89,88,0,117,103,0.170,65,0.739,1.986,3.137,2,2,1,80,0.875,8
25,0.7426,medium_clusters,8,28,3,4,6,12,0.3,0.4,50,50,1,66,63,0.260,38,0.760,1.971,3.054,4,4,1,36,0.500,8
26,0.7405,medium_clusters,10,30,3,4,6,12,0.3,0.4,81,82,2,102,106,0.244,54,0.659,1.982,3.072,4,4,2,68,0.625,8
27,0.7403,medium_clusters,12,1,3,4,6,12,0.3,0.4,125,126,2,153,152,0.206,80,0.635,1.994,3.136,2,2,2,110,0.875,8
28,0.7401,single_mass,14,45,1,2,25,60,0.25,0.35,166,168,3,235,252,0.399,106,0.631,1.991,3.062,14,13,3,146,1.000,8
29,0.7390,dispersed,10,26,12,25,1,2,0.18,0.28,84,85,2,123,99,0.165,59,0.694,1.984,3.138,3,3,2,63,0.375,8
30,0.7374,single_mass,14,1,1,2,25,60,0.25,0.35,165,167,3,239,214,0.281,102,0.611,1.993,3.020,7,9,1,148,0.875,8
31,0.7367,default,12,49,4,6,6,12,0.2,0.4,121,123,3,187,142,0.154,81,0.659,1.991,3.148,4,4,2,106,0.875,8
32,0.7366,default,12,15,4,6,6,12,0.2,0.4,128,130,3,170,164,0.262,74,0.569,1.973,3.139,4,5,3,114,0.750,8
33,0.7328,default,12,4,4,6,6,12,0.2,0.4,122,123,2,143,150,0.163,85,0.691,1.979,3.146,1,1,1,105,0.625,8
34,0.7214,dispersed,14,28,12,25,1,2,0.18,0.28,176,176,1,206,206,0.170,117,0.665,1.989,3.125,1,1,1,152,0.875,8
35,0.6993,default,10,17,3,5,5,10,0.2,0.4,82,84,3,103,102,0.214,53,0.631,1.990,3.149,5,5,3,67,1.000,8
36,0.6913,default,14,25,4,7,7,14,0.2,0.4,171,172,2,224,209,0.215,104,0.605,1.991,3.124,5,5,2,154,1.000,8
37,0.6886,medium_clusters,12,43,3,4,6,12,0.3,0.4,128,130,3,182,153,0.177,84,0.646,1.983,3.152,3,3,3,115,1.000,8
38,0.6781,medium_clusters,12,25,3,4,6,12,0.3,0.4,127,128,2,175,161,0.258,76,0.594,1.997,3.101,7,7,2,114,1.000,8
39,0.6771,default,14,14,4,7,7,14,0.2,0.4,163,164,2,203,233,0.238,93,0.567,1.991,3.145,5,5,2,145,1.000,8
40,0.6732,medium_clusters,14,10,3,4,6,12,0.3,0.4,171,172,2,232,210,0.221,101,0.587,1.996,3.143,3,3,1,154,1.000,8
41,0.6493,medium_clusters,12,22,3,4,6,12,0.3,0.4,127,128,2,155,148,0.156,84,0.656,1.998,3.155,2,2,2,113,,0
42,0.6493,medium_clusters,12,44,3,4,6,12,0.3,0.4,131,130,0,173,153,0.177,84,0.646,1.997,3.112,3,3,1,118,,0
43,0.6483,medium_clusters,14,35,3,4,6,12,0.3,0.4,174,175,2,220,217,0.240,104,0.594,1.993,3.118,2,2,2,154,,0
44,0.6453,single_mass,8,14,1,2,25,60,0.25,0.35,47,47,1,149,81,0.723,31,0.660,1.966,2.848,11,12,2,29,,0
45,0.6444,medium_clusters,14,11,3,4,6,12,0.3,0.4,171,173,3,234,233,0.347,96,0.555,1.991,3.120,3,3,2,146,,0
46,0.6443,default,12,48,4,6,6,12,0.2,0.4,126,126,1,165,152,0.206,75,0.595,1.986,3.151,2,2,2,112,,0
47,0.6429,medium_clusters,12,18,3,4,6,12,0.3,0.4,121,123,3,143,149,0.163,83,0.675,1.985,3.153,0,0,0,106,,0
48,0.6412,default,14,7,4,7,7,14,0.2,0.4,173,175,3,217,198,0.131,115,0.657,1.996,3.148,3,3,2,154,,0
49,0.6371,single_mass,10,39,1,2,25,60,0.25,0.35,72,71,0,105,98,0.380,44,0.620,1.966,3.032,5,6,2,57,,0
50,0.6367,default,10,0,3,5,5,10,0.2,0.4,79,79,1,121,100,0.266,51,0.646,1.958,3.035,4,4,2,64,,0
51,0.6362,medium_clusters,12,17,3,4,6,12,0.3,0.4,121,123,3,187,145,0.179,81,0.659,1.988,3.077,4,4,3,106,,0
52,0.6361,single_mass,12,35,1,2,25,60,0.25,0.35,130,132,3,173,154,0.167,78,0.591,1.963,3.133,10,11,1,110,,0
53,0.6347,default,12,38,4,6,6,12,0.2,0.4,122,121,0,175,139,0.149,85,0.702,1.978,3.141,1,1,1,108,,0
54,0.6347,default,10,13,3,5,5,10,0.2,0.4,77,79,3,121,96,0.215,46,0.582,1.956,3.132,7,8,2,60,,0
55,0.6344,default,14,11,4,7,7,14,0.2,0.4,164,166,3,205,195,0.175,110,0.663,1.996,3.092,2,2,1,141,,0
