snake_path,spiral_path,random_walk_path
rrrdddrrruururrlldddrrddddlllluuullluuurrlllldrdldrdrrrurrurrddrdddllllluullullrrddrdlluddrrrrrrrr,dddddrrddlddrrrrrrrruuuuuulluuurrlldlddllluuullddddrrddddlrrrrrruruuluulldllulluurrlddrddddrrrlluu,rrdlldrrruuldurlrdrlullrdlrlddlddrurrrrurduruuurrlldldurlrldrdrrddluruldudurlluuldudurlrldurlrddrrlddudrdddlulldldluuruuldllurruulluddurduulrluludurllrdurldurldldrrdduddlrlurdurrllrldurululddrllrlrdrllrruudldudrrrrurludrulrdlruudllluddudurrlluuudududlldurrudlruldludlududrlrldrurrrldurludddlllrulruuldurlrrdluldurdulrlrldurlrlddurrrullrrddlrluuddduruulrlllddududrdrdluuurdurrldluddudrrldurdrrllrrudulrllddlddllddrurdulurlddrllrrruuurudlrdrrddlrrr
ddddddddruuuurrdrruruuullllldrruuulrrrrrddddddldlllludddrurrrruuuruuuullllddurrdddddddllrrruuuurruuuuullddddddddrdruu,ddddddddrrrrrrrrruudlluuurruuuuulllllllrddlldrrrurrdddldllulldddrrrrruuuurruuullllrrddddlddlllurrruruuru,ddrurrdruulurrdrdruurdddruuulrdldrddldldlulddrrdrrdlllllulurululldluuddddrurddlluurdrlldrrrlrrurrurddrlllllulruddrruulurudururulullluulrrdlrldldludldddududrrruduldurdrrrdrulurlruluuuudullrdrlduurdrdurdludrdrulrdlrudlrdduudldlrulurlrduuuddddlllrlruddruulududuulururrdulllrrdrludlurrdulduddrdurulddurdlllrrludluuulrrlllllrddrulurrrlrllddlduldlulududdududrludurrruududdudurudullrlrdrlurrddudllurludurrdlddllruurdlurrrlrrulldlrurlrdurlrdddlddrdludrudllrddlrrdrllrrrlruu
rrrrrrrrrdlllllllulldurrddrrrrrrrdlllllllldldrrurrrrurrrdduulllddrlllldllldrrrrururrddrrdlluuulldddllllldrrrruuuurrrddddrr,rrrrrrrrrddddduulllddrddrrddlluuuulllddddlllluuuuururuuulldurrrdrrrrrdlllddrdrddrduluulldddlllluuururuurddldddlu,durrdrdruullrlrrrrrddldldlluluuudduurrlrrdrrrrdldllddrddrrdlldrrulldrlrludrruduududdulurdduudduulluududududdduuuddrdduudlrulddudrrudlruduulduluddrluddrrlruldruduududduluddrlulurdldrluuudduuudududududdddrudrllurulrrdulluulllldrrddlullulldrdrdlludrrrurdulrrudluluulllururdrllrdlldrrrrlrddrlruluulddruuuulrdlrdludruldlddrdrldllrurdlrurlrlrrlluddlrlrulrrduurulruurldldrldurdduduududlurllrlruuldrldudrrdlldulrulurrdlrdrllullldrlrrudrduludrdluuurldlluddduddrlurrdlluuudurluduuddrrrlllrrlulddduddrluudduuududurruldrlrdlluduuurldddduduurduldruddurrldlulrrdurrrllurrlrurlruurrrddududududuuuuullrldrdurudududlurlrdullddudurdudrdlrduludruududddududduulurddduudulrluuddurludulrurduldduddurlldull
rrdddllrrrrrrdddllddllluuulddddruuuurldddrdrrrrruuuuuullluluurdddrrrrddddllluludrruuulluuruldddrrrruulrurddddddddldr,rrdddllrrrrrrdddllddllluuulddddrrrrrrrrruuuuuuuuuldddlllluuurllddrdrrrdddddruuuuuuulrddlllluurlddrrddddlldllluuurldddrrruuu,rrrrdrullddrdrrdddrdruuurulurullrurldudrulrlrlrldlrlrlrdrldlddrrdddldlllluuurdrrduluuurudrllurdldddlldldlluldrrurldlrluuuurllddrdulurulrrllrdduddldruulrludruldudurdlruurlldduurrlrlldudruldddruldrdlrrllrrllrrlurdudlrrlrruurlrrrlrluurluudurrdrluuduulrurdlurddlduddduuddldurrududlrudduuuuuuddulurldlrlrrllrlrlrudurdldulrrlurddldllrlllllllrlrlrruuullrlrlrrdullrlrlrrdudrrlludrduurdlduddrudrrlrrllrddrdrdrlrulruuudlrlrlddlddrlulrrlddudlruululludrlrrdlrrururluruulrluddddlddulduldlurdudlduddrrllllllrudrrrllurldlurdlrlulrldrrrrrrlrlrrurlrdr
drrrdddllldddddruuuurrrrrddrruuuruuuullllllllrddrddddldddruurrdrrrruuuuuululllldlddrdddddruuuululuurrrrrrdddddddlll,rrrrrrrrrdddddddddllllllllluuuuurrruuulllrrrrrrrrdrddlddddllllllluuurruuulrrrrrllllddrdrrddrlllllurrr,drurrddddllddrrdlddrurrdruulluurrdlddrrururddldrlludllluurlrlddurdrrllulrldluudlluluuudurrdrlullrdrulrdrldlrdlulududdddrurduuuuddurdluulrdrddrrrudrrdrluruuuluruullulurrrdlrulddlllluurdrrulrrdulrdludrrlrduududllullduddrrlrlrluudulrlrduldulldldrddr
dddddddddruurdrruuuuuulllduuurdddllddddrrudddrrruuuuluuuulurdddrluururdllddddrrddddruuululluuuurrrddduruuulllldddddrrdrrdddruulullulluuuurrrrrddduuuu,rrrrrrrrrdddduluullllddddrrdrrdrddllllllllluuuuuuuurrrdrddddrdrrdrllllllluluuuurururrrrrddduuullldddddddlluudlluuuurrurrdr,rrdldrdllddddddrurdrruuuruluuuuulddududllluduurdldrulurlrlrdrrdulurlldrlruldddudlddddrruddrdlrrrurdrrruullurlluddldlllrdurudldurdrludlluudldlurrrrlllldruulrdrldurlludruldrldrrrllruudllrldrrrrlllrlrllurrllrdrudllrrurdrrrrurluddrlrruudlurdududdudulurllruddlulrlrurldlullrlduddlldurrrduulrurulrdlrrldrlrrrdlllrlrullrldruurdludrulldrudrldllrruudllrlrlrurllrduulrlrddurrrllrldlrulurlrlrlluurlduduululudulrldrrududurrrrdddruuurddddulrulrldurudlrdduuullllrrddd
dddddddddruuuuuuuuurdddddddddruuuuuuuuuddrdddrrdddlldrrruuulluuuuruurdddldrdruuuuurddddddldddruu,rrrddrrruurrrdddddddddllllllllluuuuuuuurrddrrrrruurdddddddllllllluuuuuurddrrrrrdddluulllddluurrrd,drddddrrdlldlddrurrrrdrrulurrruuluurullururdlrdddulldldrdrruulduddullldrluluulldrrrurullllurulllrrdudulrldldddddrrdrlrddrllrlllurrllrrrdlrurdudrrullluuulurrurdullddlduuuurrrduruurrrlrllrdddrdddllrulllluulllrrrluuudlurddluurdlrduudddrrudulrddddrdrrddru
dddrddddlddruruuuuuuluurdrddddddddlrruuuuuuuuulrrdddddddddruuuuuuurddddddduruuuuuuuurddddddd,rrrrrddrrruurdddddddllddllllllluuruuuuluurrrrddrrrrdddddllllllluruuuuulrrddrrrrddldllluurrrldl,rdlddrdddddldrrururuurrrurrdddlluruduldldluuurulldlldrdlddullrrluurrdldrrddrrruruulruuurullllllururdulllddludrdrdrlrlrddudddrrrdlludllrrluurrrrrudlududruudluuululrdudrdlllruulrlrluudlllrdudldululrlurdlrddddrddrluuldddldrluudurdlurudldrurdrdlrlurrrudduudrdrlrluduuudrdduldlrullrdulrrdruurdududluulruuddluuruulldlrrdldrdrurrduldruulludldldrdurrddurllrdllululrrurlluuduulludldrlrdrluludruluulddulurdlrrldududluuddrlrdlrddduduuudrrdrurrrlddlddrluduulrduurldlurddlrulllluududuulrurlddruuludrurullrdurrdrdrdldurduduuddlurruruurd
dddrrddddllddrurruuullruulluururdllddrrdrrdddddllrrruuuuuurruuullldrrrrdddlldddddruluuurrruuuuulldddldddddrdrru,dddrrddddllddrrrrrrrrrudlluluuurrruuuuullllldrrrddlldlllulluururdllddrrddlrrdddllrrrruuuurrruuulddlldlddd,drrulrdududlrullrlrrdluldddrrddrdddlldluurrurrrururulldlllrldlrurrdlrdddrrdllllullurdrlrlrdrludruduluudldrdurrrurudluuuurdrdruuulururddddduuluddlrruuuldrduduulrldrlurlrdduuudduudlullldlurrdrdulrlurlldrlurlrlrlrlrlldurlrrldlrrlrrlrlrrdrluldurlrurlllrllrldludrudrrddruurudlrududlludrrlludlruldudrludrurldlrllurdrlludlruldudurdludududrlurdrruddululdudlurrrrlllrrrlrrllrrdddlruddlldrrlurlrudduudlllruduuurdrlulurrlldlruldrddlrllrlddluddlrlrdldlurlllrlrlrrudrldulrrlrrdduuulddrlduuurdlluuurdllruulrddduurrdrrurdudrrlrlrudlruududduuudllllrruddduurdldrurdllrlrudludrlrudurldlrulurlddrrlulrlludrrrlurdlduullrruduurduludduulllrlldrrlrulldurlrrdurrrddllrrlurldlullrurlrldurrrlllrdrurdlludrurdudlrdlddrudullldruudllrdudrrrulduldrrdlrudlrluuddlulddlulludlrldururddduddrlrurllurrddrdrru
rrrrrrrrrdlllullldllldddrdrruuuuurrrddrrrdlluuulllldddrrlduluuurrrrddddrrdlllruuuuulllldddrddlllldrurruuuuurrrrddddddlldrrrurddlluuuuuuuulllldddddllddrrdllluuuuuuuurrrrrrrdddddldddldrrrruuuuuuuuulllllldddddllddddrrlll,dddddddddrrruulluurruuuuurrrrdddddldldddrrrruuuuuuuuulllllllldldddrddddruluurrruuluuurrrdrrdddddldldrruuuuuulluulllldrddrr,rrrdddrrlddlurdllluluuurrlurdrdududdduuududduuurrrddrddddruuruluruuldlulrrrdlludrddululurlllrlllrldludulrlddduuurrllrrdrlulrdulrlrldrlurldudludrududlurlddduddddrddldrrurdluurdudududullluurrrrulurrlrlrlrldlurdudldllrlulududrluuururlldudududurrlrrldruldlulrrdlludduduududududduruldduudduurldurdldduurlurdulrdludddudddrldduuddddrlrulduduudruddrlruulrrldluulrdrdlurrdduuduldudldrurlrdullldudrrudruulrddlrlullurrlddlurlruldurdurdldrruduldrluurllludddrrruludulludrdulrdduudldudrluududduduurdrdlurdllrruurlrlllrlruuulduuuududdduuurrlldddrdudduudulrlddrluurlrluuururrllrrdllrrlludrllddddrrlulrdrrlrllrludlddudduddurrdruulrdlurdulrddlruuldruddllrrlrlrluruddlurudlrlrlrudllrurlrddudlrlludrlrrllludruldurrrulldrlrrluddruludurldrduduudduuddlludrrududllurullurluurluddurdrrrluududrluuuulrllrdrdulllrrlulddududuudrudrrurlrrlrrrrldrdludddrludurlruudrldlduulurdudururldurddllurdduuudlulrdlrlurlrldudduullrlldluldrrduudurrrlrrldulrllrllldlulrrdllrurdudlulrdrlldududddduuuuurrrdddrlrrlrldldllulduudduududududrdlduurluduudddddrulrlddrrulddurlrulrldldurlududrldrrurulllrluuuudduuuudurrludludududrrrduuldlurldrludldduudduuudurdrrlulrrrrrdduurrlrdurdlurduldludurdulrrdllududdddurudrddddlddluldluuururddldudduluurudlrlrrlurudldldduddrrudrru
rrrrrdddddrrrruuuuuddddddllddlldlluuuuuuuurlllldrrrrrrrldlllllldrrrrdlllldrrrrurrrrddlddllllluulldrdrrrrrrrrlllllllll,rrrrrdddddrrrruuuuuddddddlldddrrllllllllluuuuuuuurrrrddddrrrrddldlldllulluuuuuurrrrrrldlllddddluuuurrddd,drdruurrrddrrldllulurrdllddrrdlldllddrurddrrurrdrrlllludurldrudlrlruduldurlrldrludurlrdrrluurululllduulldllddddrrurlrdudrrrlllrrurduldurdudrllurlrlrrdllrrrlrllruldrrrllllurdurldlurdlrlurduruduurrullrruuuuudddduuduudddddulrdllrrlrlldrlddlrlurlrdrrlrlrlrllrrlrlluduldurldlurrududldrrrllullrldudrludrrrrlrlrlllrlrlrlrudllrrlludlluuldrdrrudurduruurlulllrududuurlluddruruluuddllulrdldlluurudrdlluudurdurlldrulrrlduddluuddrruduudurdurldurlrrdlrudulrllldulrllrrddlluurddlurludrulrdlrrduurdduddlrdulurlrrddurddrllruurlddrrddrlrlurlrluddurlrulrdududldurruuudddldurulruududduuuuudduudduudduuddduuddddudllrrldrlruudduuduuduuddududdududdlrldluulrrllrrrdulrdlludullrlrluurlduudrluduuullldrlludludrdurlldrrllddr
rrrrrrrrrdllllllllldrrrrrrrrrdllllllulldldruurrddrrrrrrdlllllluuullldddduuuurrrrrddddrrrrdlulldldlluddrruuuuuuulllllddddduuuuurrrrrrdddddduurrrddduuullldddllll,ddddddduuuruurrrrddddddlldlrrrruuurrrddduuuuuuuuulllllllldrrrrrrrddddddulllddlludrruuurruuuldlllddrurr,rrrddrdrruuldddrdrdrruuuuuuldldrddluuuullldllldddluuuudruddrlrrdddrrddrddluldluuddlrlrrulrludduudrlududrruurdddulllduudududdrlurlrdlurdlurdrudrulrduduuuuldrrlrrdrdduududuuluulrruuuullrrduldrdlduurdlluurrddulllduulrlrddlluruldrurrllrdudurdlrlrrrdluulrdrudlulrrlldlldddlrrdlrldrrudldlddudllurdluuddlrlrrrlrlrrlludlrurlrllrrururlduluduuruluddrlduruddllrddruurrdrdulurllrlduuddlullluduuddrlrudurudldlurrrudrldllrrdlulrrdrruurulurlurudulllldrrdlrrludrulduudddullldruruldrurrddddddrudlruuuuuuuddduddlddrluudllulduruuurdddudddluudruulrrrllrdluuddrrdllrdduulurdllludrdlrldudurduldduudrluulrllurrdurrduruuudlrrludruullllrrrlrrdlrlurdduddudlurdddlrllllrllrluududrrulruludrrlduurdduurrudulrdulldrrllrldlddrullllrdluudrduuullrurdudludddrlddruldrrduurdrrlrdlullddrdludldrurlrlrduudulruldrldldulrrlludrlrrllrldlrlrudlrlrrlurrllrdrruuurlududlurululululuddurdddrldrlrludrruurlurururlrdulldddrdldrrllurlulddururuluddlddrdrulrdlrlrllrurdludddlldruudlludrdlududrurlruurdududuldrlrurrrulludrduruulrlruddddullruludurrlurudlrudlurudldlrllrulddrulllrlrruududdddruruududurduddldddrddduduululldddluruldldrrudlruduldrulurluudurrllullduduuruldrlrduullulddlrururdddrruddrrudrurudldldrluudrrlurddlrddduduulrlrdududduduuuudulrudludlrdulrddrluuudurudulluldurrrudldulurlllrdrddludllruddduuullddudrluuuludldlurlddddd
dddddddddruluuuruuuuurdddddrrddllrruruulluuuurdddrrrddddddllrrruuuuuuullluurdddddduuuuuurlddrrrddddddduuuuuuuu,dddddddddruluuurrrrrrrddddllrrrruuuuuuuudllluurllllllddddrrrrrrrdddduuuuullluulllddrrddddllrruuuuulrrddddr,rrrdldldldddddrdluuuurruurrruuldlrddrdruuurrrdldrddldldrdruudduudduludruduluuluuuluurllldllllduurrlddddlduuurudulrdulrlrudrrllrdrlullrrdllururddlrddrdrdrrrrurulllrduduuuldrurldllrudrdurlluldulldrldudrrrdulrdludullldrlludrrlurrdrrudrrrluullulrllddrddldllrrlrlruulrurrrllrrrrduuuuddlurlrdlldlduluuddddrludlruulrdruudrrlrlrrluludrlurlrlrlddludurudududurdrldrddlldddll
rrrrrrrrrdllllllllldrrurrdrrrrrdllllluullddllduuurrrrdddrrrrrdlllluuuulllllddddrdluuuuurrrrrdddddlrrrrrdlllluuuuuulllllddddddrrluuluuuurrrrrddddddddlludrrurrrllldllll,rrrrrrrrrdddddddllllddllllrrrruuuuuuuulllllddddddruuluurururrrrrrdddddddllldlludrruuuruuuullrrrdddduullluuullddllddrddrluuluuuurrrrrdddddl,rrdrurddddrrddlurrdddruruluulurrddlulluulddluururrdrruuldddldurrdulruuullllrlrlldlrdrdrduulluludruddurullrdudlullddldddrddrllududuruldruldruluddurlduddruudlurluddrdludruuduluurrududuulldrrulluddurduddurdudluuddrlurluuddlrrdullduduuudurdlrrdlluuddddddduudduruldduuddudrludrudrluuddrluudlududrlrudlrlrdulurddrlrlrlluduruddrlrlluruluuududdurlrulrulrddruluurrdrulllrrlrrldllldrudldrurdlurdllrruuldudldrurlluudrurdurlrdldudlduudrldrlruduuulrddurlrlddlrllduuruduuldurdulrrdurrrldrdrlluurldulldrurddululldlddduuurddrlururldurulllrlrddruulldrrdlududrurlruldrlddudlurduldrluuurdrrrrdrurrlrudulrdudulrddduduudlrlddduduldrdrulduruulurldduurldrlldrdddurldrldlllurrrdulurdludrldlurludullruuulurdrrurullullddduudurlrlrdrdurluulldrurdrulrldurrrldlrurdllulrrldrdruduulrldlrduulduddllrluurdlurrrddurddddllurldruruuuudduudllrddluulrrrddudlrldllrrudulullrrrdudrludurddldrlulrrududddudlllldulrdulrlrrudrrrdluuldduuuurdddrldluruurlruddullldururulrdlrdlrrlllrdluurdrllrdrurdlullluruulddurudrrduuudurdddulrlrudduuullrlrddduuludldllrrlddludrurduddrrluuuulrulrrrlllrddlldldrlrrrddudrdrulduldlurlluuurlrdluurdlduuurddrdrlduurdrldrdlldrurllullrrrdldldrlulddllllrru
