index,size,seed,open_cells,start_row,start_col,end_row,end_col,moves,overlaps,path,grid,image,source,source_id,user,config_id,config_label,move_fraction_u,move_fraction_d,move_fraction_l,move_fraction_r,turn_rate,mean_run_length,max_run_length,min_run_length,run_length_std,cluster,cluster_distance,cluster_rank
17,7,17,39,0,0,4,6,42,4,ddddddrrrruuluurrruuldlulldrddllddurdrrrru,1011111/1011111/1001111/1111000/1111101/1111111/1111100,images/grid_0017_n7_seed17.svg,optimal,optimal-17,,,,0.21428571428571427,0.30952380952380953,0.16666666666666666,0.30952380952380953,0.5121951219512195,1.9090909090909092,6.0,1.0,1.2759698952380183,0,2.9716686714633678,1
588,7,588,41,0,0,6,6,42,2,rdrudddlldddrrulurrrrruuuuldlldrrdlldddrrr,1110011/0111111/0011111/1111111/1111111/1111000/1111111,images/grid_0588_n7_seed588.svg,optimal,optimal-588,,,,0.16666666666666666,0.30952380952380953,0.19047619047619047,0.3333333333333333,0.5121951219512195,1.9090909090909092,5.0,1.0,1.1244833524411801,0,3.2094951298283223,2
103,7,103,41,0,0,0,6,44,4,ddddddrrrrrruuddlluuulddlluruluuurrdldrrruur,1111011/1111010/1111110/1111100/1111101/1111101/1111111,images/grid_0103_n7_seed103.svg,optimal,optimal-103,,,,0.2727272727272727,0.2727272727272727,0.1590909090909091,0.29545454545454547,0.46511627906976744,2.0952380952380953,6.0,1.0,1.4443572274383902,0,3.3056458396302,3
255,7,255,44,0,0,0,3,43,0,ddddddrrrrrruuuuuuldddlldrrdllllurulurulurr,1111011/1110011/1110011/1111111/1111111/1111111/1111111,images/grid_0255_n7_seed255.svg,optimal,optimal-255,,,,0.2558139534883721,0.2558139534883721,0.20930232558139536,0.27906976744186046,0.4523809523809524,2.15,6.0,1.0,1.7965244223221681,0,3.3082796380264403,4
190,7,190,40,0,0,0,6,40,1,rrdlldddddrrrrrruuulddluldlluurdurrurruu,1110001/1110001/1000111/1111111/1111111/1111111/1111111,images/grid_0190_n7_seed190.svg,optimal,optimal-190,,,,0.25,0.25,0.175,0.325,0.5128205128205128,1.9047619047619047,6.0,1.0,1.3058389715049608,0,3.370958606944881,5
76,7,76,39,0,0,0,5,41,3,ddddddrrrrrruululldrdrlllluruulduuurrrdur,1111110/1100100/1110000/1111110/1111111/1111111/1111111,images/grid_0076_n7_seed76.svg,optimal,optimal-76,,,,0.24390243902439024,0.24390243902439024,0.1951219512195122,0.3170731707317073,0.5,1.9523809523809523,6.0,1.0,1.5576597365520117,0,3.3873497464688582,6
602,7,602,35,0,0,4,4,36,2,dddrduuuurrrrrddlduullldddddrrrrullu,1111111/1111111/1110011/1110010/0110100/0010111/0011111,images/grid_0602_n7_seed602.svg,optimal,optimal-602,,,,0.2222222222222222,0.3333333333333333,0.16666666666666666,0.2777777777777778,0.4,2.4,5.0,1.0,1.451436070471816,0,3.4219506237486335,7
551,7,551,42,1,0,0,5,42,1,dddddrrrrrruuuulldrddluldlluruluurdrduuurr,0001110/1111000/1111111/1111111/1111111/1111111/1111111,images/grid_0551_n7_seed551.svg,optimal,optimal-551,,,,0.2857142857142857,0.2619047619047619,0.16666666666666666,0.2857142857142857,0.5365853658536586,1.826086956521739,6.0,1.0,1.372150768526913,0,3.5676380770909115,8
721,7,721,41,0,0,3,6,43,3,ddddddrrrrrrluluuuruurlldlulldddrdldrruurrr,1111111/1101110/1100110/1111111/1111100/1111110/1111111,images/grid_0721_n7_seed721.svg,optimal,optimal-721,,,,0.20930232558139536,0.27906976744186046,0.18604651162790697,0.32558139534883723,0.5,1.9545454545454546,6.0,1.0,1.4609235163625631,0,3.6663572462762373,9
704,7,704,41,0,0,3,3,42,2,ddddddrrrrlulluurdrrrruuuullllddrurrddludl,1011111/1011111/1011111/1111111/1111111/1111000/1111100,images/grid_0704_n7_seed704.svg,optimal,optimal-704,,,,0.21428571428571427,0.2857142857142857,0.21428571428571427,0.2857142857142857,0.4634146341463415,2.1,6.0,1.0,1.445683229480096,0,3.6987354666901187,10
815,7,815,41,0,0,0,6,42,2,rlddddddrrrrrruuululddrdlluullddruuururrur,1100011/1001110/1011110/1111111/1111111/1111111/1111111,images/grid_0815_n7_seed815.svg,optimal,optimal-815,,,,0.2619047619047619,0.2619047619047619,0.16666666666666666,0.30952380952380953,0.5121951219512195,1.9090909090909092,6.0,1.0,1.4431370787625042,0,3.766708657284196,11
130,7,130,36,0,0,0,6,36,1,rrrrlddlllddddrrrurulldluurrrrdruuuu,1111101/0001001/1111001/1111111/1111111/1111100/1111000,images/grid_0130_n7_seed130.svg,optimal,optimal-130,,,,0.2222222222222222,0.2222222222222222,0.19444444444444445,0.3611111111111111,0.45714285714285713,2.1176470588235294,4.0,1.0,1.2310852668503736,0,3.777419139748899,12
