index,size,seed,open_cells,start_row,start_col,end_row,end_col,moves,overlaps,path,grid,image
0,7,0,41,0,0,4,2,42,2,drudrdrdlldlddrurdrrrruuuuuudlldrdldrdllul,1100001/1110111/0011111/0111111/1111111/1111111/1111111,images/grid_0000_n7_seed0.svg
1,7,1,41,0,0,1,6,41,1,drurdrurddddlddllluuurrdldrrrdrruluruluru,1111100/1111101/0000111/1110111/1111111/1111111/1111111,images/grid_0001_n7_seed1.svg
2,7,2,44,3,0,1,5,43,0,dddrrrrrrulluurruuullllldddddrrulurulurrdru,0111111/0111111/0111111/1111111/1111100/1111111/1111111,images/grid_0002_n7_seed2.svg
3,7,3,40,0,0,0,6,42,3,ddddddrrrrlluluuuuurrdldrdldrrurdrduuuluru,1111001/1111011/1111011/1111111/1111111/1110001/1111100,images/grid_0003_n7_seed3.svg
4,7,4,42,0,0,2,2,42,1,ddddddrruluruluuurrrrrdddddllduuruuuldluld,1111111/1111111/1111111/1110011/1110111/1110111/1110100,images/grid_0004_n7_seed4.svg
5,7,5,39,0,0,4,6,38,0,ddddruuuurrrrrdlddluulldrdldddrrulurrr,1111111/1111111/1111110/1111110/1111111/0011100/0011100,images/grid_0005_n7_seed5.svg
6,7,6,45,0,0,5,5,46,2,ddddddrrrrrruululuururllllldddddruuuurddddrudr,1111111/1111110/1111100/1111110/1111111/1111111/1111111,images/grid_0006_n7_seed6.svg
7,7,7,40,0,0,6,0,40,1,ddruurdrurrrddddddllllurrruluuudlddllddl,1111111/1111101/1101101/0001101/0111111/0111111/1111111,images/grid_0007_n7_seed7.svg
8,7,8,38,0,0,6,6,38,1,ddddddrrrurllluruluruurrrrdllldrrrdddd,1011111/1011111/1111111/1110001/1110001/1111101/1111001,images/grid_0008_n7_seed8.svg
9,7,9,39,0,0,1,6,39,1,rrdddlldddrrrrrruululddrllllurruuuurrrd,1111111/0011001/0011000/1111110/1111111/1111111/1111111,images/grid_0009_n7_seed9.svg
10,7,10,39,0,0,6,3,39,1,ddddddruurrulluuurrrdlldrrrdruddddluldl,1111100/1111100/1111111/1111011/1111001/1100111/1101111,images/grid_0010_n7_seed10.svg
11,7,11,39,2,0,6,6,40,2,ddddrrrrluuulddluuuudrruurrrdlldrrdldrdd,0001111/0101111/1111111/1111011/1111011/1111001/1111101,images/grid_0011_n7_seed11.svg
12,7,12,42,0,0,1,1,42,1,ddddddrrrrururuuuuldddldldlluruurduruullld,1111111/1100111/1011111/1011111/1111111/1111110/1111100,images/grid_0012_n7_seed12.svg
13,7,13,43,0,0,6,0,42,0,dddruuurrrrrddlulddddrrdlllluruuuuldddlldd,1111111/1111111/1111111/1111100/1111100/1011111/1011111,images/grid_0013_n7_seed13.svg
14,7,14,40,0,0,6,6,40,1,ddddddrruluuuuurrrrrdddlldlluuurdddddrrr,1111111/1111001/1111001/1111111/1111100/1111000/1111111,images/grid_0014_n7_seed14.svg
15,7,15,43,0,0,6,6,44,2,ddddddrrrruuurllddlluruluuurrrdlldrrrruddddd,1111100/1111101/1111111/1111111/1111101/1111101/1111101,images/grid_0015_n7_seed15.svg
16,7,16,39,0,0,1,3,42,4,dddrdrddllrrrrrruuuuuuddldldrdlluululuurdr,1110001/1111001/1110011/1111111/0111111/0011111/1111111,images/grid_0016_n7_seed16.svg
17,7,17,39,0,0,4,6,42,4,ddddddrrrruuluurrruuldlulldrddllddurdrrrru,1011111/1011111/1001111/1111000/1111101/1111111/1111100,images/grid_0017_n7_seed17.svg
18,7,18,43,0,0,6,2,42,0,dddrdlddrururdruuuulllurrrrrdldrdldrdldlll,1111111/1111111/1000111/1100111/1111111/1111111/1111110,images/grid_0018_n7_seed18.svg
19,7,19,43,0,0,3,1,44,2,rrrrrrddddddllllllrururdrrululurrduulllllddr,1111111/1111111/1001111/1101111/0011111/0111111/1111111,images/grid_0019_n7_seed19.svg
20,7,20,44,0,0,5,5,44,1,ddddddrrrrrruuuuuuldluldlulddrdlddrurdrurudd,1111111/1111111/1110001/1110011/1111111/1111111/1111111,images/grid_0020_n7_seed20.svg
21,7,21,38,0,0,6,6,38,1,ddddddruurruuulddluuurrrrrddluddddldrr,1111111/1111011/1111011/1111010/1111010/1100110/1100111,images/grid_0021_n7_seed21.svg
22,7,22,42,2,0,0,2,42,1,ddddrrrrrruuuuuuldddddluulddlluurduurruull,0011111/0000111/1011111/1111111/1111111/1111111/1111111,images/grid_0022_n7_seed22.svg
23,7,23,40,0,0,6,2,40,1,ddddduruuuurrdlddrurddldrruuuurdddddllll,1111000/1111011/1111111/1111111/1101111/1001111/0011111,images/grid_0023_n7_seed23.svg
24,7,24,46,0,0,0,1,47,2,ddddddrrrrrrlulllluurdruulurrdddrruluruudlullll,1111111/1011111/1011111/1111111/1111111/1111110/1111111,images/grid_0024_n7_seed24.svg
