index,size,seed,open_cells,start_row,start_col,end_row,end_col,moves,overlaps,path,grid,image,source,source_id,user,config_id,config_label,move_fraction_u,move_fraction_d,move_fraction_l,move_fraction_r,turn_rate,mean_run_length,max_run_length,min_run_length,run_length_std,cluster,cluster_distance,cluster_rank,projection_x,projection_y,image_href
139,7,139,40,0,0,5,6,41,2,rlddddrrrrurruuullldrrdlldluldddldrrrrrru,1101111/1001111/1111111/1111111/1111100/1100001/1111111,images/grid_0139_n7_seed139.svg,optimal,optimal-139,,,,0.1463414634146341,0.2682926829268293,0.2195121951219512,0.3658536585365853,0.5,1.9523809523809523,6.0,1.0,1.361938061530961,0,0.5193,1,-2.06894,-0.79663,../images/grid_0139_n7_seed139.svg
477,7,477,42,0,0,5,5,42,1,ddddddrrrrrruululuurrullldluldddddrudrurdr,1111111/1111111/1100100/1100110/1111111/1111111/1111111,images/grid_0477_n7_seed477.svg,optimal,optimal-477,,,,0.2142857142857142,0.3333333333333333,0.1666666666666666,0.2857142857142857,0.5365853658536586,1.826086956521739,6.0,1.0,1.5784465096235956,0,0.709,2,-1.95319,-1.11828,../images/grid_0477_n7_seed477.svg
933,7,933,44,0,0,4,3,43,0,ddddddrrrrrruuuuuullllldddddrrrruuuuldldldr,1111111/1100111/1101111/1111011/1111011/1111111/1111111,images/grid_0933_n7_seed933.svg,optimal,optimal-933,,,,0.2325581395348837,0.3255813953488372,0.1860465116279069,0.2558139534883721,0.3095238095238095,3.0714285714285716,6.0,1.0,2.1535447759544764,0,0.8359,3,-1.98668,-0.47386,../images/grid_0933_n7_seed933.svg
957,7,957,42,0,0,1,5,42,1,ddddddrrrrrruuldlululddrlluuuuurrrddrruuld,1111111/1100111/1100111/1111000/1111111/1111111/1111111,images/grid_0957_n7_seed957.svg,optimal,optimal-957,,,,0.2619047619047619,0.2857142857142857,0.1666666666666666,0.2857142857142857,0.4634146341463415,2.1,6.0,1.0,1.6093476939431082,0,0.869,4,-2.0808,-0.79963,../images/grid_0957_n7_seed957.svg
620,7,620,43,0,0,6,5,43,1,drddldddrrrrululdluuruururrrddluldldrrrdddl,1001111/1111111/0111111/1111111/1111001/1111101/1111111,images/grid_0620_n7_seed620.svg,optimal,optimal-620,,,,0.1860465116279069,0.3255813953488372,0.1860465116279069,0.3023255813953488,0.6428571428571429,1.5357142857142858,4.0,1.0,0.8652886742561227,0,0.8755,5,-2.04987,-0.78963,../images/grid_0620_n7_seed620.svg
453,7,453,38,0,0,6,0,40,3,drurrrrrdddddduulluruuldlduuldddddluuldd,1111111/1111111/0011111/0011111/1110111/1110001/1110001,images/grid_0453_n7_seed453.svg,optimal,optimal-453,,,,0.25,0.4,0.175,0.175,0.5128205128205128,1.9047619047619049,6.0,1.0,1.4769583256448402,0,0.9198,6,-2.07542,-0.79668,../images/grid_0453_n7_seed453.svg
690,7,690,41,0,0,6,0,42,2,ddrurulrrrddruurdddldddrlllluurdruullllddd,1111111/1110111/1100111/1111111/1011110/1011110/1011111,images/grid_0690_n7_seed690.svg,optimal,optimal-690,,,,0.1904761904761904,0.3333333333333333,0.238095238095238,0.238095238095238,0.5365853658536586,1.826086956521739,4.0,1.0,1.0065945132861067,0,0.9599,7,-2.03224,-0.74163,../images/grid_0690_n7_seed690.svg
515,7,515,41,0,0,2,4,40,0,rrddlldddrrulurrdrrdlldrrruuuuuuldlulddr,1111111/0011111/1111101/1111001/1111111/1111111/0001111,images/grid_0515_n7_seed515.svg,optimal,optimal-515,,,,0.225,0.275,0.2,0.3,0.5641025641025641,1.7391304347826086,6.0,1.0,1.1118879871777758,0,0.9746,8,-2.0698,-0.69692,../images/grid_0515_n7_seed515.svg
774,7,774,45,0,0,6,6,44,0,dddddruuuuurddddddruuuuuurdddddruuuuurdddddd,1111111/1111111/1111111/1111111/1111111/1111111/0011001,images/grid_0774_n7_seed774.svg,optimal,optimal-774,,,,0.3636363636363636,0.5,0.0,0.1363636363636363,0.2790697674418604,3.3846153846153846,6.0,1.0,2.237390703422921,0,1.0138,9,-2.03199,-0.70861,../images/grid_0774_n7_seed774.svg
621,7,621,41,0,0,0,1,41,1,ddddddruurulurrdddrdurruuuuulddddluuuulll,1111111/1000111/1111111/1111111/1111111/1101111/1100100,images/grid_0621_n7_seed621.svg,optimal,optimal-621,,,,0.3414634146341463,0.3414634146341463,0.1463414634146341,0.1707317073170731,0.45,2.1578947368421053,6.0,1.0,1.5308462707630512,0,1.0168,10,-2.10573,-0.98051,../images/grid_0621_n7_seed621.svg
