index,size,seed,open_cells,start_row,start_col,end_row,end_col,moves,overlaps,path,grid,image,source,source_id,user,config_id,config_label,move_fraction_u,move_fraction_d,move_fraction_l,move_fraction_r,turn_rate,mean_run_length,max_run_length,min_run_length,run_length_std,cluster,cluster_distance,cluster_rank
507,7,507,43,0,0,5,6,43,1,ddddddrrrrullluuuuurrrrrddullddluuldddrrrrd,1111111/1111111/1111101/1111100/1111111/1111101/1111100,images/grid_0507_n7_seed507.svg,optimal,optimal-507,,,,0.20930232558139536,0.32558139534883723,0.16279069767441862,0.3023255813953488,0.35714285714285715,2.6875,6.0,1.0,1.6092991486979666,0,2.4706954132147887,1
571,7,571,43,0,0,6,6,42,0,ddddddrrrrullluuuuurdrurdrurddldllldrrrddr,1111111/1111111/1100011/1111110/1111110/1111110/1111111,images/grid_0571_n7_seed571.svg,optimal,optimal-571,,,,0.19047619047619047,0.3333333333333333,0.16666666666666666,0.30952380952380953,0.5121951219512195,1.9090909090909092,6.0,1.0,1.4431370787625042,0,2.65445323397221,2
33,7,33,45,0,0,4,4,44,0,ddddddrrrrurruuuuuldlullldddddrruluuurddrrdl,1111111/1111111/1111001/1111111/1111111/1111111/1111100,images/grid_0033_n7_seed33.svg,optimal,optimal-33,,,,0.25,0.3409090909090909,0.1590909090909091,0.25,0.4418604651162791,2.2,6.0,1.0,1.568438714135812,0,2.879100814801936,3
65,7,65,44,0,0,6,6,44,1,ddddddrruluuuuurrrrrdddluuldlulddrdlrddrurrd,1111111/1111111/1111111/1111011/1111000/1111111/1111101,images/grid_0065_n7_seed65.svg,optimal,optimal-65,,,,0.22727272727272727,0.36363636363636365,0.13636363636363635,0.2727272727272727,0.5348837209302325,1.8333333333333333,6.0,1.0,1.4337208778404378,0,2.9234503736492625,4
878,7,878,42,0,0,4,6,42,1,ddddddrrrrrululdllurururulldlduuurrrrrdddd,1111111/1111101/1111101/1111001/1111101/1111110/1111110,images/grid_0878_n7_seed878.svg,optimal,optimal-878,,,,0.21428571428571427,0.30952380952380953,0.16666666666666666,0.30952380952380953,0.5121951219512195,1.9090909090909092,6.0,1.0,1.5640591394622958,0,2.9542018791505833,5
431,7,431,43,0,0,6,6,42,0,ddddddrrrrullluuuuurrrrrdddllluuldddrrrddr,1111111/1111001/1111001/1111111/1111110/1111110/1111111,images/grid_0431_n7_seed431.svg,optimal,optimal-431,,,,0.19047619047619047,0.3333333333333333,0.16666666666666666,0.30952380952380953,0.3170731707317073,3.0,6.0,1.0,1.5118578920369088,0,2.9888065398791923,6
366,7,366,45,0,0,2,2,44,0,ddddddrrrrrruuuluruulllddddrrdlllluruluuurdd,1111111/1111001/1111011/1111011/1111111/1111111/1111111,images/grid_0366_n7_seed366.svg,optimal,optimal-366,,,,0.25,0.29545454545454547,0.20454545454545456,0.25,0.4186046511627907,2.3157894736842106,6.0,1.0,1.6239209074254224,0,3.0093392758735993,7
574,7,574,42,0,0,1,1,42,1,ddddddrrrrrrulluldlluurdurrrrulurullldluld,1111111/1111011/1000011/1111111/1111100/1111111/1111111,images/grid_0574_n7_seed574.svg,optimal,optimal-574,,,,0.21428571428571427,0.23809523809523808,0.2619047619047619,0.2857142857142857,0.5609756097560976,1.75,6.0,1.0,1.479019945774904,0,3.042764430582062,8
759,7,759,45,0,0,0,6,44,0,ddddddrrrrrruuulddluulddlluruluuurrdldrrruur,1111011/1111010/1111110/1111111/1111111/1111111/1111111,images/grid_0759_n7_seed759.svg,optimal,optimal-759,,,,0.2727272727272727,0.2727272727272727,0.1590909090909091,0.29545454545454547,0.4883720930232558,2.0,6.0,1.0,1.4459976109624424,0,3.0475597116314956,9
628,7,628,44,0,0,6,6,44,1,rrrrrrdlllllldrrrrrrdlllllldrrrdrlllldrrrrrr,1111111/1111111/1111111/1111111/1111000/1111100/1111111,images/grid_0628_n7_seed628.svg,optimal,optimal-628,,,,0.0,0.13636363636363635,0.36363636363636365,0.5,0.3023255813953488,3.142857142857143,6.0,1.0,2.294625486315573,0,3.2236489679130482,10
614,7,614,46,0,0,0,5,45,0,ddddddrrrrrruuulddluulddlluruluuurrdldrrrruul,1111011/1111001/1111111/1111111/1111111/1111111/1111111,images/grid_0614_n7_seed614.svg,optimal,optimal-614,,,,0.26666666666666666,0.26666666666666666,0.17777777777777778,0.28888888888888886,0.4772727272727273,2.0454545454545454,6.0,1.0,1.4917126437656307,0,3.2359488354734243,11
172,7,172,45,0,0,3,6,45,1,ddddddrrrrrrulluuuulddddllurulurulurrrrrldddr,1111111/1111110/1111110/1111111/1111100/1111111/1111111,images/grid_0172_n7_seed172.svg,optimal,optimal-172,,,,0.2222222222222222,0.28888888888888886,0.17777777777777778,0.3111111111111111,0.45454545454545453,2.142857142857143,6.0,1.0,1.7261494247992246,0,3.24755503723605,12
91,7,91,45,0,0,6,6,44,0,ddddddrrrulluuuuurrrrrddluldluldddrurrdlddrr,1111111/1111111/1111111/1111110/1111110/1111100/1111111,images/grid_0091_n7_seed91.svg,optimal,optimal-91,,,,0.20454545454545456,0.3409090909090909,0.1590909090909091,0.29545454545454547,0.4883720930232558,2.0,6.0,1.0,1.4770978917519928,0,3.2750484088976863,13
344,7,344,42,0,0,5,6,43,2,ddddddrrrulluuuuurrrrrddulllldddrurrldddrru,1111111/1111111/1110001/1111110/1111100/1111101/1111111,images/grid_0344_n7_seed344.svg,optimal,optimal-344,,,,0.20930232558139536,0.32558139534883723,0.16279069767441862,0.3023255813953488,0.38095238095238093,2.5294117647058822,6.0,1.0,1.5762071772910897,0,3.2940032898289706,14
675,7,675,44,0,0,4,6,44,1,ddddddrrrulluuuuurrrrrddullddluuldddrrddrruu,1111111/1111111/1111101/1111100/1111101/1111101/1111111,images/grid_0675_n7_seed675.svg,optimal,optimal-675,,,,0.25,0.3409090909090909,0.13636363636363635,0.2727272727272727,0.3953488372093023,2.4444444444444446,6.0,1.0,1.4229164972072998,0,3.31439909083965,15
14,7,14,40,0,0,6,6,40,1,ddddddrruluuuuurrrrrdddlldlluuurdddddrrr,1111111/1111001/1111001/1111111/1111100/1111000/1111111,images/grid_0014_n7_seed14.svg,optimal,optimal-14,,,,0.225,0.375,0.125,0.275,0.3333333333333333,2.857142857142857,6.0,1.0,1.6842608746502281,0,3.4163458676707785,16
120,7,120,41,0,0,6,6,40,0,ddddddrrrulluuurulurrrrrdddlluldldrrddrr,1111111/1110001/1111101/1111111/1111100/1111100/1111111,images/grid_0120_n7_seed120.svg,optimal,optimal-120,,,,0.175,0.325,0.175,0.325,0.48717948717948717,2.0,6.0,1.0,1.378404875209022,0,3.443615392411028,17
407,7,407,41,0,0,1,6,41,1,ddddddrrrrurruuldlldllururuuldlduuurrrrrd,1111111/1111001/1111000/1111011/1111111/1111111/1111100,images/grid_0407_n7_seed407.svg,optimal,optimal-407,,,,0.24390243902439024,0.2682926829268293,0.17073170731707318,0.3170731707317073,0.525,1.8636363636363635,6.0,1.0,1.391384351364906,0,3.4528549557088923,18
